term,d_01_greedog.txt,d_02_obstgoat.txt,d_03_peace.txt,q_imagine_song.txt
cindy,0,0,2.0,0
joy,0,0,2.0,0
west,0,0,2.0,0
augusta,0,0,2.0,0
va,0,0,2.0,0
peace,0.41503749927884376,0,0.41503749927884376,0.41503749927884376
song,0,0,2.0,0
last,0,0,2.0,0
nite,0,0,2.0,0
strangest,0,0,2.0,0
dream,0,0,2.0,0
never,1.0,0,2.0,0
dreamed,0,0,6.0,0
world,0,0,1.0,3.0
agreed,0,0,2.0,0
put,0,0,2.0,0
end,0,0,2.0,0
war,0,0,2.0,0
saw,1.0,0,1.0,0
mighty,0,0,2.0,0
room,0,0,2.0,0
filled,0,0,2.0,0
women,0,0,2.0,0
men,0,0,2.0,0
paper,0,0,4.0,0
signing,0,0,2.0,0
said,0,0,2.0,0
fight,0,1.0,1.0,0
signed,0,0,2.0,0
million,0,0,2.0,0
copies,0,0,2.0,0
made,0,0,2.0,0
joined,0,0,2.0,0
hands,0,0,2.0,0
bowed,0,0,2.0,0
heads,0,0,2.0,0
grateful,0,0,2.0,0
prayers,0,0,2.0,0
prayed,0,0,2.0,0
people,0,0,1.0,3.0
streets,0,0,2.0,0
dancing,0,0,2.0,0
round,0,0,4.0,0
guns,0,0,2.0,0
swords,0,0,2.0,0
uniforms,0,0,2.0,0
scattered,0,0,2.0,0
ground,0,0,2.0,0
imagine,0,0,0,14.0
heaven,0,0,0,2.0
easy,0,0,0,2.0
try,0,0,0,2.0
hell,0,0,0,2.0
us,0,0,0,8.0
sky,0,0,0,2.0
living,0,0,0,4.0
today,0,0,0,2.0
countries,0,0,0,2.0
hard,0,0,0,2.0
nothing,1.0,0,0,1.0
kill,0,0,0,2.0
die,0,0,0,2.0
religion,0,0,0,2.0
life,0,0,0,2.0
may,0,0,0,4.0
say,0,0,0,4.0
dreamer,0,0,0,4.0
one,0,1.0,0,4.0
hope,0,0,0,4.0
someday,0,0,0,4.0
join,0,1.0,0,2.0
possessions,0,0,0,2.0
wonder,0,0,0,2.0
need,0,0,0,2.0
greed,0,0,0,2.0
hunger,0,0,0,2.0
brotherhood,0,0,0,2.0
man,0,0,0,2.0
sharing,0,0,0,2.0
live,0,0,0,2.0
greedy,4.0,0,0,0
dog,14.0,0,0,0
upon,1.0,1.0,0,0
time,1.0,1.0,0,0
managed,2.0,0,0,0
steal,2.0,0,0,0
large,2.0,1.0,0,0
steak,8.0,0,0,0
butcher,2.0,0,0,0
shop,2.0,0,0,0
ran,2.0,0,0,0
woods,2.0,0,0,0
eat,2.0,0,0,0
reaching,2.0,0,0,0
banks,1.0,1.0,0,0
stream,4.0,0,0,0
happened,1.0,1.0,0,0
see,4.0,0,0,0
face,2.0,0,0,0
reflected,2.0,0,0,0
water,4.0,0,0,0
moment,2.0,0,0,0
thinking,2.0,0,0,0
looking,2.0,0,0,0
thought,2.0,0,0,0
another,2.0,0,0,0
holding,2.0,0,0,0
mouth,2.0,0,0,0
jumped,2.0,0,0,0
snatch,2.0,0,0,0
meat,4.0,0,0,0
course,2.0,0,0,0
reflection,2.0,0,0,0
vanished,2.0,0,0,0
could,4.0,0,0,0
sign,2.0,0,0,0
realize,2.0,0,0,0
barked,2.0,0,0,0
frighten,2.0,0,0,0
dropped,2.0,0,0,0
stolen,2.0,0,0,0
unluckily,2.0,0,0,0
current,2.0,0,0,0
swift,2.0,0,0,0
carried,2.0,0,0,0
away,2.0,0,0,0
though,2.0,0,0,0
hunted,2.0,0,0,0
find,2.0,0,0,0
trace,2.0,0,0,0
meant,2.0,0,0,0
instead,2.0,0,0,0
two,1.0,2.0,0,0
steaks,2.0,0,0,0
left,2.0,0,0,0
obstinate,0,2.0,0,0
goats,0,8.0,0,0
mountain,0,4.0,0,0
going,0,2.0,0,0
opposite,0,2.0,0,0
slopes,0,2.0,0,0
valley,0,2.0,0,0
flowed,0,2.0,0,0
rushing,0,2.0,0,0
river,0,6.0,0,0
dwellers,0,2.0,0,0
bridged,0,2.0,0,0
placing,0,2.0,0,0
tree,0,6.0,0,0
trunk,0,8.0,0,0
struck,0,2.0,0,0
lightning,0,2.0,0,0
steep,0,2.0,0,0
rocky,0,2.0,0,0
met,0,2.0,0,0
head,0,2.0,0,0
half,0,2.0,0,0
way,0,4.0,0,0
across,0,2.0,0,0
wanted,0,2.0,0,0
cross,0,2.0,0,0
side,0,2.0,0,0
nearly,0,2.0,0,0
wide,0,2.0,0,0
enough,0,4.0,0,0
pass,0,4.0,0,0
neither,0,4.0,0,0
goat,0,2.0,0,0
inclined,0,2.0,0,0
give,0,2.0,0,0
obstinately,0,2.0,0,0
began,0,2.0,0,0
bicker,0,2.0,0,0
would,0,4.0,0,0
budge,0,2.0,0,0
inch,0,2.0,0,0
words,0,2.0,0,0
soon,0,2.0,0,0
led,0,2.0,0,0
action,0,2.0,0,0
started,0,2.0,0,0
till,0,2.0,0,0
finally,0,2.0,0,0
tumbled,0,2.0,0,0
much,0,2.0,0,0
simpler,0,2.0,0,0
courteous,0,2.0,0,0
allow,0,2.0,0,0
